PopName,Area,Year,YearReg,Month,Vital,Births,Access,Note1,Note2,Note3,RefCode,LDB
PRT,1,1942,.,4,1,16252,O,.,.,.,1,1
PRT,1,1942,.,5,1,16198,O,.,.,.,1,1
PRT,1,1942,.,6,1,14584,O,.,.,.,1,1
PRT,1,1942,.,7,1,14779,O,.,.,.,1,1
PRT,1,1942,.,8,1,15002,O,.,.,.,1,1
PRT,1,1942,.,9,1,15676,O,.,.,.,1,1
PRT,1,1942,.,10,1,16216,O,.,.,.,1,1
PRT,1,1942,.,11,1,16017,O,.,.,.,1,1
PRT,1,1942,.,12,1,15952,O,.,.,.,1,1
PRT,1,1942,.,TOT,1,187503,O,.,.,.,1,1
PRT,1,1943,.,1,1,18063,O,.,.,.,1,1
PRT,1,1943,.,2,1,17243,O,.,.,.,1,1
PRT,1,1943,.,3,1,18551,O,.,.,.,1,1
PRT,1,1943,.,4,1,18014,O,.,.,.,1,1
PRT,1,1943,.,5,1,16605,O,.,.,.,1,1
PRT,1,1943,.,6,1,15325,O,.,.,.,1,1
PRT,1,1943,.,7,1,14925,O,.,.,.,1,1
PRT,1,1943,.,8,1,15143,O,.,.,.,1,1
PRT,1,1943,.,9,1,15800,O,.,.,.,1,1
PRT,1,1943,.,10,1,15717,O,.,.,.,1,1
PRT,1,1943,.,11,1,15393,O,.,.,.,1,1
PRT,1,1943,.,12,1,17322,O,.,.,.,1,1
PRT,1,1943,.,TOT,1,198101,O,.,.,.,1,1
PRT,1,1944,.,1,1,19731,O,.,.,.,1,1
PRT,1,1944,.,2,1,16686,O,.,.,.,1,1
PRT,1,1944,.,3,1,18174,O,.,.,.,1,1
PRT,1,1944,.,4,1,15974,O,.,.,.,1,1
PRT,1,1944,.,5,1,15730,O,.,.,.,1,1
PRT,1,1944,.,6,1,15014,O,.,.,.,1,1
PRT,1,1944,.,7,1,15944,O,.,.,.,1,1
PRT,1,1944,.,8,1,16563,O,.,.,.,1,1
PRT,1,1944,.,9,1,17289,O,.,.,.,1,1
PRT,1,1944,.,10,1,17057,O,.,.,.,1,1
PRT,1,1944,.,11,1,16366,O,.,.,.,1,1
PRT,1,1944,.,12,1,16845,O,.,.,.,1,1
PRT,1,1944,.,TOT,1,201373,O,.,.,.,1,1
PRT,1,1945,.,1,1,19745,O,.,.,.,1,1
PRT,1,1945,.,2,1,17073,O,.,.,.,1,1
PRT,1,1945,.,3,1,18927,O,.,.,.,1,1
